UF,epiweek,SRAG2009,SRAG2010,SRAG2011,SRAG2012,SRAG2013,SRAG2014,SRAG2015,SRAG2016,Média geométrica do pico de infecção das temporadas regulares,Distância geométrica do pico na temporada SRAG2009,Distância geométrica do pico na temporada SRAG2010,Distância geométrica do pico na temporada SRAG2011,Distância geométrica do pico na temporada SRAG2012,Distância geométrica do pico na temporada SRAG2013,Distância geométrica do pico na temporada SRAG2014,Distância geométrica do pico na temporada SRAG2015,limiar pré-epidêmico absoluto,limiar pós-epidêmico absoluto,intensidade baixa absoluto,intensidade alta absoluto,intensidade muito alta absoluto,corredor baixo,corredor mediano,corredor alto,se relativa ao início do surto,se típica do início do surto,duração típica do surto,curva epi. baixa,curva epi. mediana,curva epi. alta,SRAG2010 transladado,SRAG2011 transladado,SRAG2012 transladado,SRAG2013 transladado,SRAG2014 transladado,SRAG2015 transladado,n.seasons
25,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,3.0000000000000004,3.0000000000000004,-22.0,23.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,,6
25,2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,1.0,1.0,-21.0,23.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,,6
25,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,-20.0,23.0,4.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,6
25,4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,2.0,2.0,-19.0,23.0,4.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6
25,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,-18.0,23.0,4.0,0.0,1.0,1.0,,0.0,,0.0,0.0,1.0,6
25,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,-17.0,23.0,4.0,0.0,2.0,2.0,,0.0,,0.0,0.0,2.0,6
25,7,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,-16.0,23.0,4.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6
25,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,0.0,0.0,-15.0,23.0,4.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6
25,9,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,2.0,2.0,-14.0,23.0,4.0,0.0,1.0,1.0,,0.0,,0.0,0.0,1.0,6
25,10,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,-13.0,23.0,4.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6
25,11,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,-12.0,23.0,4.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,6
25,12,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,-11.0,23.0,4.0,0.0,1.0,1.0,,0.0,,0.0,1.0,0.0,6
25,13,0.0,2.0,0.0,1.0,1.0,0.0,0.0,12.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.8010765435907086,1.2599210498948732,1.9815847370251365,-10.0,23.0,4.0,0.0,3.0000000000000004,3.0000000000000004,3.0,0.0,,0.0,0.0,0.0,6
25,14,0.0,2.0,0.0,0.0,0.0,0.0,0.0,35.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,2.0,2.0,-9.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6
25,15,0.0,0.0,0.0,1.0,0.0,0.0,0.0,28.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,1.0,1.0,-8.0,23.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,6
25,16,0.0,0.0,0.0,1.0,0.0,1.0,0.0,15.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,1.0,1.0,1.0,-7.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,6
25,17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0396489026555056,10.79 vez(es) maior,1.47 vez(es) maior,2.04 vez(es) menor,1.02 vez(es) menor,1.47 vez(es) maior,1.02 vez(es) menor,1.02 vez(es) menor,5,5,1.1148982680535688,10,20,0.0,1.0,1.0,-6.0,23.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,6
